"id","temp","humidity","co2","device_name","timestamp","adjust_co2","device_name_label"
1508463,29.9,66.5,490,"tongdy_4","2025-07-21T17:07:15.000Z","492.428490","HLR Exhaust"
1508464,35.6,51.2,34,"tongdy_1","2025-07-21T17:07:45.000Z","422.220774","HLR intlet"
1508465,33.7,56.8,535,"tongdy_2","2025-07-21T17:07:45.000Z","500.080250","Carbon inlet"
1508466,29.8,67.4,451,"tongdy_3","2025-07-21T17:07:45.000Z","478.867607","Carbon Outlet"
1508467,29.9,66.5,488,"tongdy_4","2025-07-21T17:07:45.000Z","490.182148","HLR Exhaust"
1508468,35.6,50.7,34,"tongdy_1","2025-07-21T17:08:15.000Z","422.220774","HLR intlet"
1508469,33.7,57.2,535,"tongdy_2","2025-07-21T17:08:15.000Z","500.080250","Carbon inlet"
1508470,29.8,67.4,451,"tongdy_3","2025-07-21T17:08:15.000Z","478.867607","Carbon Outlet"
1508471,29.9,66.3,489,"tongdy_4","2025-07-21T17:08:15.000Z","491.305319","HLR Exhaust"
1508472,35.6,51.3,34,"tongdy_1","2025-07-21T17:08:45.000Z","422.220774","HLR intlet"
1508473,33.7,57.2,535,"tongdy_2","2025-07-21T17:08:45.000Z","500.080250","Carbon inlet"
1508474,29.8,67.4,451,"tongdy_3","2025-07-21T17:08:45.000Z","478.867607","Carbon Outlet"
1508475,29.9,66.3,489,"tongdy_4","2025-07-21T17:08:45.000Z","491.305319","HLR Exhaust"
1508476,35.6,51,32,"tongdy_1","2025-07-21T17:09:15.000Z","420.233352","HLR intlet"
1508477,33.7,57.2,535,"tongdy_2","2025-07-21T17:09:15.000Z","500.080250","Carbon inlet"
1508478,29.8,67.4,451,"tongdy_3","2025-07-21T17:09:15.000Z","478.867607","Carbon Outlet"
1508479,30,66.3,488,"tongdy_4","2025-07-21T17:09:15.000Z","490.182148","HLR Exhaust"
1508480,35.6,50.7,30,"tongdy_1","2025-07-21T17:09:45.000Z","418.245930","HLR intlet"
1508481,33.7,57.3,535,"tongdy_2","2025-07-21T17:09:45.000Z","500.080250","Carbon inlet"
1508482,29.8,67.4,451,"tongdy_3","2025-07-21T17:09:45.000Z","478.867607","Carbon Outlet"
1508483,29.9,66.3,488,"tongdy_4","2025-07-21T17:09:45.000Z","490.182148","HLR Exhaust"
1508484,35.6,51,30,"tongdy_1","2025-07-21T17:10:15.000Z","418.245930","HLR intlet"
1508485,33.7,57.1,535,"tongdy_2","2025-07-21T17:10:15.000Z","500.080250","Carbon inlet"
1508486,29.8,67.4,450,"tongdy_3","2025-07-21T17:10:15.000Z","477.816237","Carbon Outlet"
1508487,29.9,66.3,489,"tongdy_4","2025-07-21T17:10:15.000Z","491.305319","HLR Exhaust"
1508488,35.6,51.5,31,"tongdy_1","2025-07-21T17:10:45.000Z","419.239641","HLR intlet"
1508489,33.7,56.8,535,"tongdy_2","2025-07-21T17:10:45.000Z","500.080250","Carbon inlet"
1508490,29.8,67.3,451,"tongdy_3","2025-07-21T17:10:45.000Z","478.867607","Carbon Outlet"
1508491,29.9,66.5,490,"tongdy_4","2025-07-21T17:10:45.000Z","492.428490","HLR Exhaust"
1508492,35.6,51.5,37,"tongdy_1","2025-07-21T17:11:15.000Z","425.201907","HLR intlet"
1508493,33.7,56.5,536,"tongdy_2","2025-07-21T17:11:15.000Z","501.197980","Carbon inlet"
1508494,29.8,67.3,451,"tongdy_3","2025-07-21T17:11:15.000Z","478.867607","Carbon Outlet"
1508495,30,66.3,490,"tongdy_4","2025-07-21T17:11:15.000Z","492.428490","HLR Exhaust"
1508496,35.6,51.2,39,"tongdy_1","2025-07-21T17:11:45.000Z","427.189329","HLR intlet"
1508497,33.7,56.2,535,"tongdy_2","2025-07-21T17:11:45.000Z","500.080250","Carbon inlet"
1508498,29.8,67.5,451,"tongdy_3","2025-07-21T17:11:45.000Z","478.867607","Carbon Outlet"
1508499,29.9,66.5,490,"tongdy_4","2025-07-21T17:11:45.000Z","492.428490","HLR Exhaust"
1508500,35.6,51,39,"tongdy_1","2025-07-21T17:12:15.000Z","427.189329","HLR intlet"
1508501,33.7,56.1,535,"tongdy_2","2025-07-21T17:12:15.000Z","500.080250","Carbon inlet"
1508502,29.8,67.6,451,"tongdy_3","2025-07-21T17:12:15.000Z","478.867607","Carbon Outlet"
1508503,30,66.5,490,"tongdy_4","2025-07-21T17:12:15.000Z","492.428490","HLR Exhaust"
1508504,35.6,51.2,37,"tongdy_1","2025-07-21T17:12:45.000Z","425.201907","HLR intlet"
1508505,33.7,56,535,"tongdy_2","2025-07-21T17:12:45.000Z","500.080250","Carbon inlet"
1508506,29.8,67.6,451,"tongdy_3","2025-07-21T17:12:45.000Z","478.867607","Carbon Outlet"
1508507,30,66.5,490,"tongdy_4","2025-07-21T17:12:45.000Z","492.428490","HLR Exhaust"
1508508,35.6,51,39,"tongdy_1","2025-07-21T17:13:15.000Z","427.189329","HLR intlet"
1508509,33.7,55.8,535,"tongdy_2","2025-07-21T17:13:15.000Z","500.080250","Carbon inlet"
1508510,29.8,67.6,453,"tongdy_3","2025-07-21T17:13:15.000Z","480.970347","Carbon Outlet"
1508511,29.9,66.6,490,"tongdy_4","2025-07-21T17:13:15.000Z","492.428490","HLR Exhaust"
1508512,35.6,51.1,40,"tongdy_1","2025-07-21T17:13:45.000Z","428.183040","HLR intlet"
1508513,33.7,55.8,535,"tongdy_2","2025-07-21T17:13:45.000Z","500.080250","Carbon inlet"
1508514,29.8,67.7,453,"tongdy_3","2025-07-21T17:13:45.000Z","480.970347","Carbon Outlet"
1508515,29.9,66.6,490,"tongdy_4","2025-07-21T17:13:45.000Z","492.428490","HLR Exhaust"
1508516,35.6,51.3,40,"tongdy_1","2025-07-21T17:14:15.000Z","428.183040","HLR intlet"
1508517,33.7,55.7,535,"tongdy_2","2025-07-21T17:14:15.000Z","500.080250","Carbon inlet"
1508518,29.8,67.7,452,"tongdy_3","2025-07-21T17:14:15.000Z","479.918977","Carbon Outlet"
1508519,29.9,66.6,489,"tongdy_4","2025-07-21T17:14:15.000Z","491.305319","HLR Exhaust"
1508520,35.6,51.7,40,"tongdy_1","2025-07-21T17:14:45.000Z","428.183040","HLR intlet"
1508521,33.7,55.7,535,"tongdy_2","2025-07-21T17:14:45.000Z","500.080250","Carbon inlet"
1508522,29.8,67.7,452,"tongdy_3","2025-07-21T17:14:45.000Z","479.918977","Carbon Outlet"
1508523,30,66.7,490,"tongdy_4","2025-07-21T17:14:45.000Z","492.428490","HLR Exhaust"
1508524,35.5,51.5,40,"tongdy_1","2025-07-21T17:15:15.000Z","428.183040","HLR intlet"
1508525,33.7,55.7,535,"tongdy_2","2025-07-21T17:15:15.000Z","500.080250","Carbon inlet"
1508526,29.8,67.7,452,"tongdy_3","2025-07-21T17:15:15.000Z","479.918977","Carbon Outlet"
1508527,29.9,66.7,490,"tongdy_4","2025-07-21T17:15:15.000Z","492.428490","HLR Exhaust"
1508528,35.6,51.8,41,"tongdy_1","2025-07-21T17:15:45.000Z","429.176751","HLR intlet"
1508529,33.7,55.7,533,"tongdy_2","2025-07-21T17:15:45.000Z","497.844790","Carbon inlet"
1508530,29.8,67.6,452,"tongdy_3","2025-07-21T17:15:45.000Z","479.918977","Carbon Outlet"
